cell_id,target_cell_type,x,y,z
1,4P,-797.1736437249241,-421.07976443703,821.64
1,4P,-810.2145446294213,-399.30901042712645,796.56
2,4P,-703.2688865849999,-335.21091823133673,737.76
3,5P-ET,-699.4564708986429,-382.4892202657179,950.92
3,5P-IT,-718.1406296137488,-508.8880241693592,826.44
