cell_id,target_cell_type,x,y,z
1,4P,-92.0060469028378,-421.0797644340709,821.64
1,4P,-105.11025186647323,-399.30901042554444,796.56
2,4P,1.6844004295792985,-335.2109182277234,737.76
3,5P-ET,5.634215690400225,-382.48922026392205,950.92
3,5P-IT,-12.739372718728555,-508.88802416730545,826.44
